book_id,video_id,frame_index,time_sec,instance_id,segment_id,score,x1,y1,x2,y2,shelf_center_x,shelf_x1,shelf_x2,match_cost,quality_score,crop_path,mask_path
000_book_0001,000,0,0.00,1,0,0.8631,173,179,268,571,220.5000,173.0000,268.0000,,0.6834,crops/000000_001.jpg,masks/000000_001.png
000_book_0001,000,1,0.33,1,0,0.8357,185,185,274,576,224.6573,180.1573,269.1573,-0.4538,0.6558,crops/000001_001.jpg,masks/000001_001.png
000_book_0001,000,2,0.67,1,0,0.8617,191,207,280,600,222.0253,177.5253,266.5253,-0.5284,0.6650,crops/000002_001.jpg,masks/000002_001.png
000_book_0001,000,3,1.00,1,0,0.8459,188,225,273,610,221.0475,178.5475,263.5475,-0.4545,0.6499,crops/000003_001.jpg,masks/000003_001.png
000_book_0001,000,4,1.33,1,0,0.8380,188,243,269,610,222.9823,182.4823,263.4823,-0.3583,0.6280,crops/000004_001.jpg,masks/000004_001.png
000_book_0001,000,5,1.67,1,0,0.8411,188,237,268,610,222.6329,182.6329,262.6329,-0.4178,0.6353,crops/000005_001.jpg,masks/000005_001.png
000_book_0001,000,6,2.00,1,0,0.8305,196,219,279,610,218.3043,176.8043,259.8043,-0.3685,0.6471,crops/000006_001.jpg,masks/000006_001.png
000_book_0001,000,7,2.33,1,0,0.7855,200,183,283,590,204.9250,163.4250,246.4250,-0.0541,0.6282,crops/000007_001.jpg,masks/000007_001.png
000_book_0001,000,8,2.67,1,0,0.8132,206,198,292,608,202.2767,159.2767,245.2767,-0.1741,0.6358,crops/000008_001.jpg,masks/000008_001.png
000_book_0001,000,9,3.00,1,0,0.8341,220,219,300,610,210.5686,170.5686,250.5686,-0.3265,0.6386,crops/000009_001.jpg,masks/000009_001.png
000_book_0001,000,10,3.33,1,0,0.8254,189,190,271,588,212.5572,171.5572,253.5572,-0.3191,0.6240,crops/000010_001.jpg,masks/000010_001.png
000_book_0001,000,11,3.67,1,0,0.8042,135,199,219,588,218.9948,176.9948,260.9948,-0.3029,0.1956,crops/000011_001.jpg,masks/000011_001.png
000_book_0002,000,0,0.00,2,0,0.8610,229,184,298,574,263.5000,229.0000,298.0000,,0.7010,crops/000000_002.jpg,masks/000000_002.png
000_book_0002,000,1,0.33,2,0,0.8663,238,189,304,578,266.1573,233.1573,299.1573,-0.4822,0.6557,crops/000001_002.jpg,masks/000001_002.png
000_book_0002,000,2,0.67,2,0,0.8750,245,213,310,603,264.0253,231.5253,296.5253,-0.5318,0.6653,crops/000002_002.jpg,masks/000002_002.png
000_book_0002,000,3,1.00,2,0,0.8605,243,230,303,610,263.5475,233.5475,293.5475,-0.4180,0.6416,crops/000003_002.jpg,masks/000003_002.png
000_book_0002,000,4,1.33,2,0,0.8558,243,248,299,610,265.4823,237.4823,293.4823,-0.3151,0.6221,crops/000004_002.jpg,masks/000004_002.png
000_book_0002,000,5,1.67,2,0,0.8691,242,243,298,610,264.6329,236.6329,292.6329,-0.4222,0.6368,crops/000005_002.jpg,masks/000005_002.png
000_book_0002,000,6,2.00,2,0,0.8673,252,224,308,610,260.8043,232.8043,288.8043,-0.3623,0.6446,crops/000006_002.jpg,masks/000006_002.png
000_book_0002,000,7,2.33,2,0,0.8817,257,189,314,594,248.9250,220.4250,277.4250,-0.0271,0.6135,crops/000007_002.jpg,masks/000007_002.png
000_book_0002,000,8,2.67,2,0,0.8669,265,204,322,610,246.7767,218.2767,275.2767,-0.1549,0.6071,crops/000008_002.jpg,masks/000008_002.png
000_book_0002,000,9,3.00,2,0,0.8639,274,227,330,610,252.5686,224.5686,280.5686,-0.3538,0.6394,crops/000009_002.jpg,masks/000009_002.png
000_book_0002,000,10,3.33,2,0,0.8658,245,197,302,592,256.0572,227.5572,284.5572,-0.3126,0.6115,crops/000010_002.jpg,masks/000010_002.png
000_book_0002,000,11,3.67,2,0,0.8720,190,205,249,593,261.4948,231.9948,290.9948,-0.2865,0.6066,crops/000011_002.jpg,masks/000011_002.png
000_book_0003,000,7,2.33,3,0,0.8421,289,189,338,591,276.9250,252.4250,301.4250,,0.6182,crops/000007_003.jpg,masks/000007_003.png
000_book_0003,000,8,2.67,3,0,0.8393,296,204,347,610,274.7767,249.2767,300.2767,-0.4567,0.6284,crops/000008_003.jpg,masks/000008_003.png
000_book_0003,000,9,3.00,3,0,0.8524,307,226,354,610,281.0686,257.5686,304.5686,-0.2923,0.6841,crops/000009_003.jpg,masks/000009_003.png
000_book_0003,000,10,3.33,3,0,0.8362,277,196,325,591,283.5572,259.5572,307.5572,-0.3029,0.6257,crops/000010_003.jpg,masks/000010_003.png
000_book_0003,000,11,3.67,3,0,0.7965,221,204,272,591,288.4948,262.9948,313.9948,-0.2871,0.6149,crops/000011_003.jpg,masks/000011_003.png
000_book_0003,000,12,4.00,1,0,0.6946,128,201,179,587,289.2496,263.7496,314.7496,-0.3257,0.1187,crops/000012_001.jpg,masks/000012_001.png
000_book_0004,000,0,0.00,3,0,0.8618,262,183,322,571,292.0000,262.0000,322.0000,,0.7701,crops/000000_003.jpg,masks/000000_003.png
000_book_0004,000,1,0.33,3,0,0.8697,270,189,327,575,293.6573,265.1573,322.1573,-0.5053,0.7049,crops/000001_003.jpg,masks/000001_003.png
000_book_0004,000,2,0.67,3,0,0.8685,278,213,333,601,292.0253,264.5253,319.5253,-0.5118,0.7128,crops/000002_003.jpg,masks/000002_003.png
000_book_0004,000,3,1.00,3,0,0.8490,275,230,327,610,291.5475,265.5475,317.5475,-0.4306,0.6962,crops/000003_003.jpg,masks/000003_003.png
000_book_0004,000,4,1.33,3,0,0.8287,274,248,324,610,293.4823,268.4823,318.4823,-0.3647,0.6731,crops/000004_003.jpg,masks/000004_003.png
000_book_0004,000,5,1.67,3,0,0.8335,273,242,322,610,292.1329,267.6329,316.6329,-0.4345,0.6906,crops/000005_003.jpg,masks/000005_003.png
000_book_0004,000,6,2.00,3,0,0.8391,284,224,332,610,288.8043,264.8043,312.8043,-0.3666,0.6932,crops/000006_003.jpg,masks/000006_003.png
000_book_0004,000,7,2.33,4,0,0.7188,315,153,355,598,298.4250,278.4250,318.4250,-0.1126,0.6172,crops/000007_004.jpg,masks/000007_004.png
000_book_0004,000,8,2.67,4,0,0.7029,322,168,363,610,295.7767,275.2767,316.2767,-0.1728,0.6248,crops/000008_004.jpg,masks/000008_004.png
000_book_0004,000,9,3.00,4,0,0.6935,333,193,370,610,302.0686,283.5686,320.5686,-0.1992,0.6962,crops/000009_004.jpg,masks/000009_004.png
000_book_0004,000,10,3.33,4,0,0.7234,302,162,341,598,304.0572,284.5572,323.5572,-0.3006,0.6190,crops/000010_004.jpg,masks/000010_004.png
000_book_0004,000,11,3.67,4,0,0.7105,245,172,288,599,308.4948,286.9948,329.9948,-0.2509,0.6072,crops/000011_004.jpg,masks/000011_004.png
000_book_0004,000,12,4.00,2,0,0.6779,143,168,196,595,305.2496,278.7496,331.7496,-0.2767,0.5553,crops/000012_002.jpg,masks/000012_002.png
