book_id,video_id,first_frame,last_frame,num_observations,best_crop_path,best_score,best_quality_crop_path,best_quality_score,status,count_as_book,boundary,segment_ids,mean_shelf_center_x,mean_width,mean_height
000_book_0001,000,0,11,12,crops/000000_001.jpg,0.8631,crops/000000_001.jpg,0.6834,confirmed,1,0,0,216.7893,84.7500,390.5833
000_book_0002,000,0,11,12,crops/000007_002.jpg,0.8817,crops/000000_002.jpg,0.7010,confirmed,1,0,0,259.4976,59.5000,386.7500
000_book_0003,000,7,12,6,crops/000009_003.jpg,0.8524,crops/000009_003.jpg,0.6841,confirmed,1,0,0,282.3453,49.5000,393.3333
000_book_0004,000,0,12,13,crops/000001_003.jpg,0.8697,crops/000000_003.jpg,0.7701,confirmed,1,0,0,296.7478,48.0000,404.0000
000_book_0005,000,0,12,13,crops/000008_005.jpg,0.8146,crops/000000_004.jpg,0.7642,confirmed,1,0,0,315.7478,43.6923,423.3077
000_book_0006,000,0,6,7,crops/000002_005.jpg,0.8319,crops/000000_005.jpg,0.7670,confirmed,1,0,0,329.3071,46.0000,415.7143
000_book_0007,000,0,12,13,crops/000001_006.jpg,0.8801,crops/000000_006.jpg,0.7125,confirmed,1,0,0,355.5939,50.1538,380.2308
000_book_0008,000,0,13,14,crops/000009_007.jpg,0.7493,crops/000009_007.jpg,0.6074,confirmed,1,0,0,383.0284,35.4286,329.7143
000_book_0009,000,0,13,14,crops/000000_008.jpg,0.8824,crops/000000_008.jpg,0.7316,confirmed,1,0,0,403.2784,40.3571,385.2143
000_book_0010,000,0,13,14,crops/000012_007.jpg,0.8564,crops/000000_009.jpg,0.7472,confirmed,1,0,0,428.4570,38.1429,344.0714
000_book_0011,000,0,13,14,crops/000002_010.jpg,0.7771,crops/000000_010.jpg,0.7171,confirmed,1,0,0,452.9927,32.0714,331.7143
000_book_0012,000,14,14,1,crops/000014_002.jpg,0.5076,crops/000014_002.jpg,0.0054,boundary,0,1,0,464.5334,34.0000,275.0000
000_book_0013,000,0,14,15,crops/000000_011.jpg,0.9163,crops/000000_011.jpg,0.8399,confirmed,1,0,0,471.3621,44.6000,425.3333
000_book_0014,000,0,14,15,crops/000002_012.jpg,0.9010,crops/000000_012.jpg,0.8804,confirmed,1,0,0,496.6954,45.5333,421.6000
000_book_0015,000,0,14,15,crops/000007_013.jpg,0.8896,crops/000000_013.jpg,0.8579,confirmed,1,0,0,525.3288,43.0667,374.4667
000_book_0016,000,0,15,15,crops/000013_008.jpg,0.7839,crops/000000_014.jpg,0.8020,confirmed,1,0,0,549.3236,30.8667,331.0667
000_book_0017,000,0,15,16,crops/000001_015.jpg,0.9211,crops/000000_015.jpg,0.8678,confirmed,1,0,0,572.1492,40.1875,385.2500
000_book_0018,000,0,15,16,crops/000001_016.jpg,0.9106,crops/000000_016.jpg,0.8594,confirmed,1,0,0,603.3679,40.3750,386.1875
000_book_0019,000,16,16,1,crops/000016_002.jpg,0.5150,crops/000016_002.jpg,-0.0236,boundary,0,1,0,611.7408,14.0000,113.0000
000_book_0020,000,0,16,17,crops/000000_017.jpg,0.8990,crops/000000_017.jpg,0.8402,confirmed,1,0,0,634.9781,34.9412,372.8235
000_book_0021,000,0,16,17,crops/000012_016.jpg,0.8844,crops/000009_018.jpg,0.8333,confirmed,1,0,0,661.2722,32.3529,383.4118
000_book_0022,000,0,16,17,crops/000012_017.jpg,0.9196,crops/000009_019.jpg,0.8699,confirmed,1,0,0,690.0957,43.1765,378.5882
000_book_0023,000,0,17,18,crops/000013_014.jpg,0.9023,crops/000009_020.jpg,0.8574,confirmed,1,0,0,721.0376,37.9444,385.3333
000_book_0024,000,0,17,18,crops/000013_015.jpg,0.9424,crops/000009_021.jpg,0.8935,confirmed,1,0,0,751.5932,46.2778,424.3333
000_book_0025,000,0,17,18,crops/000015_009.jpg,0.8754,crops/000000_022.jpg,0.8341,confirmed,1,0,0,777.6487,42.1667,352.6111
000_book_0026,000,17,17,1,crops/000017_004.jpg,0.8055,crops/000017_004.jpg,0.6147,singleton,0,0,0,803.0493,51.0000,391.0000
