frame_index,time_sec,dx,dy,cumulative_dx,cumulative_dy,response,used_fallback,method,segment_id
0,0.00,0.0000,0.0000,0.0000,0.0000,1.0000,0,seed,0
1,0.33,4.8427,5.6965,4.8427,5.6965,0.8990,0,phase,0
2,0.67,8.6320,24.0935,13.4747,29.7900,0.8347,0,phase,0
3,1.00,-4.0222,18.2045,9.4525,47.9945,0.8285,0,phase,0
4,1.33,-3.9347,18.5598,5.5177,66.5543,0.7561,0,phase,0
5,1.67,-0.1506,-4.2522,5.3671,62.3021,0.7614,0,phase,0
6,2.00,13.8286,-16.8452,19.1957,45.4570,0.7800,0,phase,0
7,2.33,17.3793,-31.1628,36.5750,14.2941,0.4197,0,phase,0
8,2.67,10.1483,19.5235,46.7233,33.8177,0.7561,0,phase,0
9,3.00,2.7080,20.9660,49.4314,54.7836,0.6137,0,phase,0
10,3.33,-31.9885,-26.5091,17.4428,28.2745,0.7769,0,phase,0
11,3.67,-59.4377,7.1492,-41.9948,35.4237,0.5400,0,phase,0
12,4.00,-93.7547,-2.3509,-135.7496,33.0728,0.7447,0,phase,0
13,4.33,-92.9274,-18.1695,-228.6770,14.9033,0.4054,0,phase,0
14,4.67,-90.8564,-27.0190,-319.5334,-12.1157,0.3809,0,phase,0
15,5.00,-70.4217,-5.9650,-389.9551,-18.0807,0.5635,0,phase,0
16,5.33,-86.7857,-11.3743,-476.7408,-29.4550,0.3722,0,phase,0
17,5.67,-113.8085,30.9979,-590.5493,1.5430,0.3404,0,phase,0
18,6.00,-122.5368,31.5019,-713.0861,33.0449,0.2443,0,phase,0
19,6.33,-84.5354,-5.3979,-797.6215,27.6470,0.2285,0,phase,0
20,6.67,-83.0474,0.2681,-880.6689,27.9151,0.0883,0,phase,0
21,7.00,-54.9765,4.7678,-935.6454,32.6829,0.2889,0,phase,0
22,7.33,-95.9859,-19.2994,-1031.6313,13.3835,0.2395,0,phase,0
23,7.67,-73.8833,-15.4292,-1105.5146,-2.0457,0.4004,0,phase,0
24,8.00,-48.0775,-0.8292,-1153.5921,-2.8749,0.5687,0,phase,0
25,8.33,-25.0383,25.6908,-1178.6304,22.8159,0.6329,0,phase,0
26,8.67,-24.6428,-3.4706,-1203.2731,19.3453,0.6406,0,phase,0
27,9.00,-9.8470,-11.6919,-1213.1202,7.6533,0.7246,0,phase,0
28,9.33,-29.9468,6.9293,-1243.0669,14.5826,0.6628,0,phase,0
29,9.67,-60.1627,-3.6420,-1303.2297,10.9407,0.6199,0,phase,0
30,10.00,-64.9602,-5.2674,-1368.1898,5.6733,0.5488,0,phase,0
31,10.33,-57.7060,4.5806,-1425.8958,10.2539,0.6926,0,phase,0
32,10.67,-44.5388,-21.3777,-1470.4346,-11.1238,0.4148,0,phase,0
33,11.00,-54.5327,-16.5393,-1524.9674,-27.6631,0.4810,0,phase,0
34,11.33,-45.0573,-12.5682,-1570.0247,-40.2313,0.6283,0,phase,0
35,11.67,-58.9372,6.7445,-1628.9618,-33.4867,0.7176,0,phase,0
36,12.00,-52.2507,1.2356,-1681.2126,-32.2512,0.4815,0,phase,0
